Downloaded from wid.world on 18-05-2019 at 13:00:37
Percentile;Year;"shweal_z_US
Net personal wealth
Top 10% | share
USA";"sptinc_z_US
Pre-tax national income 
Top 10% | share
USA"
p90p100;1913;0.7844365506;0.4230991944
p90p100;1914;0.7832937193;0.4295370054
p90p100;1915;0.7796749449;0.4218821046
p90p100;1916;0.7821813984;0.443883753
p90p100;1917;0.7830617627;0.4490198792
p90p100;1918;0.785695291;0.4363794633
p90p100;1919;0.8007831465;0.4543468431
p90p100;1920;0.7809806241;0.4343857998
p90p100;1921;0.7798983827;0.4652806885
p90p100;1922;0.7923839535;0.4553658062
p90p100;1923;0.7967031041;0.4310278266
p90p100;1924;0.8113684414;0.4526293073
p90p100;1925;0.8221927337;0.470836414
p90p100;1926;0.8316244657;0.474412122
p90p100;1927;0.8417629987;0.4675959104
p90p100;1928;0.8445798049;0.4795721775
p90p100;1929;0.8439851034;0.4667982605
p90p100;1930;0.8459084613;0.4534248844
p90p100;1931;0.8435794384;0.4499597484
p90p100;1932;0.8480062339;0.4665430469
p90p100;1933;0.8455898575;0.4687227818
p90p100;1934;0.8302588639;0.4802653399
p90p100;1935;0.8168119474;0.4706203249
p90p100;1936;0.8217671029;0.4773932275
p90p100;1937;0.8029158269;0.4651851355
p90p100;1938;0.7994737146;0.4646210622
p90p100;1939;0.8027566183;0.4786798294
p90p100;1940;0.7712533787;0.477346136
p90p100;1941;0.7462823406;0.4578812737
p90p100;1942;0.7287599402;0.4106691817
p90p100;1943;0.7334048856;0.3805715074
p90p100;1944;0.7107359583;0.3619564071
p90p100;1945;0.717669727;0.3582014376
p90p100;1946;0.7149425374;0.3720508901
p90p100;1947;0.7011998398;0.370776115
p90p100;1948;0.6868017778;0.3890846095
p90p100;1949;0.6786432297;0.3835805646
p90p100;1950;0.682675141;0.3898779579
p90p100;1951;0.6827025434;0.3770673082
p90p100;1952;0.6795597939;0.3650568592
p90p100;1953;0.6728015812;0.354913545
p90p100;1954;0.6774825301;0.3590106782
p90p100;1955;0.6813612956;0.3653512275
p90p100;1956;0.6853160501;0.3575918289
p90p100;1957;0.6892942697;0.3576198697
p90p100;1958;0.6881716158;0.3570380707
p90p100;1959;0.6956807188;0.3616348077
p90p100;1960;0.6985188715;0.3563159589
p90p100;1961;0.7007805444;0.3583255173
p90p100;1962;0.7063525319;0.3608999971
p90p100;1963;0.7052688003;
p90p100;1964;0.7041850588;0.3698099965
p90p100;1965;0.6984257102;
p90p100;1966;0.7125199905;0.3629000003
p90p100;1967;0.7030100017;0.3528699952
p90p100;1968;0.716879999;0.355079995
p90p100;1969;0.6933199966;0.3412700022
p90p100;1970;0.7073099953;0.338360001
p90p100;1971;0.6770150803;0.3436499979
p90p100;1972;0.7012799926;0.3465199986
p90p100;1973;0.689089998;0.3496899981
p90p100;1974;0.6717800037;0.3405400009
p90p100;1975;0.6729399952;0.3441299965
p90p100;1976;0.6574999924;0.3428399999
p90p100;1977;0.6635699959;0.3476000024
p90p100;1978;0.639085353;0.3464999991
p90p100;1979;0.6528900014;0.3488500036
p90p100;1980;0.6510200039;0.3424299993
p90p100;1981;0.6391039488;0.3472299969
p90p100;1982;0.6352699951;0.3489800008
p90p100;1983;0.6268700045;0.3542099965
p90p100;1984;0.6136543751;0.3666000026
p90p100;1985;0.617734991;0.3665700016
p90p100;1986;0.6137799963;0.3647299967
p90p100;1987;0.6218300019;0.3761200018
p90p100;1988;0.632889993;0.3894900043
p90p100;1989;0.6332299993;0.3867099996
p90p100;1990;0.6355099967;0.3871300001
p90p100;1991;0.6349399957;0.3855599976
p90p100;1992;0.6425373584;0.3977500013
p90p100;1993;0.6457145817;0.3955899975
p90p100;1994;0.6554399948;0.3985900012
p90p100;1995;0.6590199992;0.4065699968
p90p100;1996;0.6641099993;0.4154899993
p90p100;1997;0.6698600079;0.4226900013
p90p100;1998;0.6799799989;0.4263200015
p90p100;1999;0.6703130016;0.433510003
p90p100;2000;0.6879299998;0.4388499992
p90p100;2001;0.6644740133;0.4279899988
p90p100;2002;0.6634834977;0.4272500025
p90p100;2003;0.6655873042;0.4286500011
p90p100;2004;0.6736980132;0.4390299997
p90p100;2005;0.6741784206;0.4506100006
p90p100;2006;0.6797648701;0.4602900023
p90p100;2007;0.6979299951;0.4579500005
p90p100;2008;0.7199944868;0.4530600039
p90p100;2009;0.7276693601;0.4433999963
p90p100;2010;0.7325193887;0.4575099965
p90p100;2011;0.7412799913;0.459240002
p90p100;2012;0.7374432085;0.4714399999
p90p100;2013;0.7320100013;0.4631600006
p90p100;2014;0.7298499972;0.4701699951
